,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,BCH/USDT,$614.48,"$1,115,625.02","$1,377,918.83","$98,471,785",6.43%,High,503,Recently
1,Huobi Global,BCH/USDT,$614.49,"$571,221.12","$448,193.36","$54,588,097",3.57%,Low,447,Recently
2,Coinbase Exchange,BCH/USD,$614.70,"$1,062,361.57","$1,199,542.42","$30,191,851",1.97%,High,488,Recently
3,FTX US,BCH/USD,$614.67,"$5,022,909.92","$4,417,796.69","$29,117,210",1.90%,High,365,Recently
4,FTX US,BCH/USDT,$614.90,"$5,014,833.85","$4,799,643.51","$26,678,106",1.74%,High,381,Recently
5,FTX,BCH/USD,$614.45,"$1,607,288.00","$704,377.43","$16,620,776",1.09%,High,489,Recently
6,Gate.io,BCH/USDT,$614.58,"$600,736.29","$1,001,236.83","$12,816,942",0.84%,High,415,Recently
7,Binance,BCH/BTC,$614.39,"$434,840.53","$288,769.48","$12,621,293",0.82%,High,672,Recently
8,Huobi Global,BCH/BTC,$614.66,"$205,044.05","$220,789.56","$10,369,479",0.68%,High,514,Recently
9,FTX US,BCH/BTC,$620.09,"$4,661,488.05","$4,304,043.36","$9,227,140",0.60%,High,275,Recently
10,Binance,BCH/BUSD,$614.62,"$583,164.29","$596,328.36","$9,096,393",0.59%,High,866,Recently
11,Coinbase Exchange,BCH/BTC,$614.93,"$426,854.38","$537,895.35","$8,531,471",0.56%,High,279,Recently
12,Bithumb,BCH/KRW,$626.59,"$249,955.33","$343,545.55","$6,778,153",0.44%,High,229,Recently
