,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,LTC/USDT,$180.26,"$1,006,331.59","$1,285,322.21","$160,059,428",4.38%,High,513,Recently
1,Coinbase Exchange,LTC/USD,$180.34,"$1,527,419.01","$1,187,416.42","$94,365,740",2.58%,High,574,Recently
2,Huobi Global,LTC/USDT,$180.36,"$680,741.90","$704,339.15","$85,865,354",2.35%,Low,481,Recently
3,FTX,LTC/USD,$179.94,"$3,129,959.68","$2,874,532.31","$60,142,273",1.64%,High,658,Recently
4,FTX,LTC/USDT,$179.98,"$2,610,912.76","$2,625,926.82","$45,510,529",1.24%,High,483,Recently
5,Binance,LTC/BTC,$180.32,"$399,063.31","$665,599.39","$37,944,805",1.04%,High,580,Recently
6,Bithumb,LTC/KRW,$183.57,"$287,198.75","$395,201.52","$27,484,266",0.75%,High,205,Recently
7,Bitfinex,LTC/USD,$180.09,"$2,328,011.22","$2,311,619.37","$26,473,010",0.72%,High,428,Recently
8,Gate.io,LTC/USDT,$180.26,"$754,412.43","$824,372.11","$24,489,150",0.67%,High,353,Recently
9,Binance,LTC/BUSD,$180.21,"$484,225.35","$644,014.93","$21,195,092",0.58%,High,754,Recently
10,KuCoin,LTC/USDT,$180.15,"$822,180.99","$735,218.28","$16,513,623",0.45%,High,442,Recently
11,FTX US,LTC/USD,$179.83,"$2,975,580.30","$2,933,154.99","$16,341,317",0.45%,High,334,Recently
12,Coinbase Exchange,LTC/BTC,$180.27,"$432,144.67","$545,810.37","$13,154,122",0.36%,High,377,Recently
13,FTX US,LTC/USDT,$180.35,"$3,371,746.11","$3,246,450.83","$12,814,141",0.35%,High,325,Recently
