,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,LUNA/USDT,$46.26,"$604,542.55","$1,889,212.59","$315,005,397",19.26%,High,715,Recently
1,KuCoin,LUNA/USDT,$46.24,"$5,508,119.93","$3,814,136.74","$185,509,851",11.34%,Moderate,401,Recently
2,Huobi Global,LUNA/USDT,$46.25,"$640,603.25","$223,228.23","$123,286,888",7.54%,Low,331,Recently
3,Gate.io,LUNA/USDT,$46.27,"$534,351.91","$539,761.69","$82,963,581",5.07%,Moderate,291,Recently
4,Binance,LUNA/BUSD,$46.20,"$644,058.83","$735,722.77","$82,286,437",5.03%,High,610,Recently
5,Binance,LUNA/BTC,$46.22,"$242,013.27","$791,815.39","$73,918,640",4.52%,High,948,Recently
6,Bitfinex,LUNA/USD,$46.26,-,-,"$72,943,834",4.46%,N/A,-,Recently
7,Bitfinex,LUNA/UST,$46.35,-,-,"$45,770,442",2.80%,N/A,-,Recently
8,Huobi Global,LUNA/BTC,$46.24,"$670,932.63","$177,695.93","$38,667,129",2.36%,Low,309,Recently
9,Binance,LUNA/EUR,$45.86,"$179,773.41","$268,775.50","$24,774,138",1.51%,High,655,Recently
10,KuCoin,LUNA/BTC,$46.23,"$1,433,665.29","$246,964.65","$24,202,292",1.48%,High,235,Recently
11,Huobi Global,LUNA/HT,$46.33,"$52,478.76","$65,332.87","$22,378,299",1.37%,Low,176,Recently
