,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,UNI/USDT,$25.88,"$676,540.92","$671,765.87","$55,958,492",13.28%,High,571,Recently
1,Huobi Global,UNI/USDT,$25.87,"$848,344.74","$560,771.24","$39,918,228",9.47%,Low,480,Recently
2,Bithumb,UNI/KRW,$26.35,"$360,643.01","$482,910.85","$28,945,241",6.87%,High,221,Recently
3,Coinbase Exchange,UNI/USD,$25.87,"$913,625.88","$952,303.09","$25,626,005",6.08%,High,467,Recently
4,Binance,UNI/BTC,$25.84,"$237,704.48","$320,747.58","$9,598,097",2.28%,High,689,Recently
5,Gate.io,UNI/USDT,$25.87,"$660,419.53","$712,600.59","$8,859,676",2.10%,High,371,Recently
6,FTX,UNI/USD,$25.88,"$539,174.03","$363,288.84","$6,313,650",1.50%,High,412,Recently
7,Binance,UNI/BUSD,$25.88,"$291,136.88","$256,184.77","$5,981,045",1.42%,High,764,Recently
8,Binance.US,UNI/USD,$25.85,"$581,136.01","$318,766.45","$5,310,596",1.26%,High,872,Recently
9,Coinbase Exchange,UNI/BTC,$25.97,"$411,266.06","$490,909.76","$4,787,840",1.14%,High,424,Recently
10,KuCoin,UNI/USDT,$25.88,"$578,355.09","$783,733.80","$2,982,362",0.71%,High,285,Recently
11,Binance.US,UNI/USDT,$25.90,"$305,145.97","$277,447.93","$2,965,757",0.70%,High,706,Recently
12,Binance,UNI/BNB,$25.86,"$60,953.57","$125,270.07","$2,924,310",0.69%,High,603,Recently
13,Bitfinex,UNI/USD,$25.88,"$983,980.77","$1,777,044.50","$2,860,395",0.68%,High,289,Recently
14,FTX,UNI/USDT,$25.86,"$289,902.75","$308,554.33","$2,770,184",0.66%,High,304,Recently
