,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,WBTC/BTC,"$54,513.70","$10,067,325.70","$2,858,906.08","$24,165,903",6.52%,High,728,Recently
1,FTX,WBTC/BTC,"$54,508.25","$36,479,825.59","$37,730,170.20","$11,087,747",2.99%,High,881,Recently
2,Uniswap (V2),WBTC/WETH,"$54,080.78",-,-,"$5,192,359",1.40%,High,900,Recently
3,FTX,WBTC/USD,"$54,492.00","$20,062,320.76","$18,906,322.58","$3,458,531",0.93%,High,253,Recently
4,Coinbase Exchange,WBTC/BTC,"$54,508.25","$706,827.96","$1,593,765.98","$3,356,385",0.91%,High,635,Recently
5,Binance,WBTC/ETH,"$54,519.59","$734,710.76","$448,289.45","$2,541,567",0.69%,High,506,Recently
6,Uniswap (V2),WBTC/BADGER,"$54,329.45",-,-,"$2,409,546",0.65%,High,611,Recently
7,Coinbase Exchange,WBTC/USD,"$54,510.10","$190,399.17","$179,571.89","$734,415",0.20%,High,372,Recently
8,KuCoin,WBTC/BTC,"$54,922.90","$6,707.78","$839,376.08","$705,148",0.19%,High,108,Recently
9,Huobi Global,WBTC/BTC,"$54,519.15","$2,009,472.12","$93,568.79","$275,224",0.07%,High,268,Recently
10,Uniswap (V2),WBTC/USDC,"$54,247.48",-,-,"$147,627",0.04%,High,392,Recently
11,Kraken,WBTC/USD,"$54,065.20","$187,126.70","$680,965.00","$137,852",0.04%,High,544,Recently
12,Kraken,WBTC/EUR,"$54,154.91","$142,533.88","$472,303.23","$67,567",0.02%,High,476,Recently
