,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,DOGE/USDT,$0.2456,"$1,913,468.59","$1,884,035.24","$560,586,223",17.74%,High,668,Recently
1,Coinbase Exchange,DOGE/USD,$0.2463,"$2,289,991.98","$1,786,695.88","$157,204,018",4.97%,High,378,Recently
2,Huobi Global,DOGE/USDT,$0.2455,"$1,224,932.85","$4,596,030.53","$154,349,511",4.88%,Low,465,Recently
3,FTX,DOGE/USD,$0.2456,"$954,586.22","$1,116,945.83","$134,298,576",4.25%,Moderate,533,Recently
4,FTX,DOGE/USDT,$0.2456,"$1,021,126.66","$1,082,091.53","$84,954,101",2.69%,Moderate,392,Recently
5,Binance,DOGE/BUSD,$0.2454,"$551,011.43","$494,077.38","$75,372,131",2.38%,High,651,Recently
6,Gate.io,DOGE/USDT,$0.2456,"$449,969.76","$949,450.38","$74,969,412",2.37%,High,447,Recently
7,Bithumb,DOGE/KRW,$0.2502,"$651,812.58","$267,605.91","$63,245,266",2.00%,High,258,Recently
8,Binance,DOGE/BTC,$0.2456,"$1,068,886.67","$1,111,285.46","$61,186,766",1.94%,High,561,Recently
9,Binance,DOGE/TRY,$0.2447,"$332,853.73","$246,669.22","$60,463,327",1.91%,High,807,Recently
10,Binance.US,DOGE/USD,$0.2455,"$845,636.99","$588,957.62","$49,838,597",1.58%,High,838,Recently
11,FTX US,DOGE/USDT,$0.2455,"$592,461.83","$706,021.42","$43,482,780",1.38%,Low,267,Recently
12,KuCoin,DOGE/USDT,$0.2456,"$1,597,687.55","$715,083.74","$42,808,458",1.35%,High,445,Recently
13,FTX US,DOGE/USD,$0.2463,"$724,517.13","$646,970.10","$40,764,520",1.29%,Moderate,261,Recently
