,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,BNB/USDT,$443.48,"$8,859,345.83","$5,103,339.24","$516,453,082",25.94%,High,570,Recently
1,Binance,BNB/BUSD,$443.49,"$3,491,539.90","$1,540,758.03","$154,262,927",7.75%,High,525,Recently
2,Binance,BNB/BTC,$443.72,"$1,030,163.68","$1,208,880.08","$88,314,357",4.44%,High,636,Recently
3,FTX,BNB/USD,$444.01,"$2,524,834.74","$2,600,863.40","$69,034,122",3.47%,High,713,Recently
4,Gate.io,BNB/USDT,$443.72,"$739,558.15","$937,593.57","$54,784,693",2.75%,High,440,Recently
5,Binance.US,BNB/USD,$444.07,"$1,053,272.82","$734,269.10","$40,554,826",2.04%,High,647,Recently
6,FTX,BNB/USDT,$443.84,"$2,047,894.57","$2,535,709.75","$36,021,135",1.81%,High,617,Recently
7,KuCoin,BNB/USDT,$443.71,"$1,575,721.68","$899,568.47","$26,995,802",1.36%,High,552,Recently
8,Binance,BNB/ETH,$443.84,"$303,082.56","$1,297,666.21","$24,122,834",1.21%,High,532,Recently
9,Binance,DOT/BNB,$443.48,"$133,815.82","$228,417.62","$16,068,429",0.81%,High,658,Recently
10,Binance,LUNA/BNB,$443.48,"$30,698.39","$178,021.44","$12,698,266",0.64%,High,804,Recently
11,Binance,FTM/BNB,$443.48,"$64,027.07","$76,019.05","$11,878,317",0.60%,High,890,Recently
12,Binance,BNB/EUR,$438.93,"$297,733.63","$224,109.81","$11,399,426",0.57%,High,841,Recently
13,Binance,CAKE/BNB,$443.48,"$172,884.76","$157,487.16","$9,177,463",0.46%,High,734,Recently
14,Binance,SOL/BNB,$443.48,"$114,388.16","$447,846.53","$7,594,427",0.38%,High,643,Recently
