,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,ADA/USDT,$2.30,"$3,735,825.24","$4,551,968.78","$587,962,066",17.82%,High,901,Recently
1,Coinbase Exchange,ADA/USD,$2.30,"$2,579,600.52","$2,837,264.94","$309,190,148",9.37%,High,674,Recently
2,Binance,ADA/BTC,$2.30,"$1,027,921.18","$893,475.49","$122,837,715",3.72%,High,670,Recently
3,Binance,ADA/BUSD,$2.30,"$1,303,067.28","$1,334,903.21","$120,301,123",3.65%,High,790,Recently
4,Huobi Global,ADA/USDT,$2.30,"$1,710,224.01","$1,622,451.87","$111,400,165",3.38%,Low,572,Recently
5,Binance.US,ADA/USD,$2.30,"$1,442,610.87","$1,335,382.51","$66,761,768",2.02%,High,906,Recently
6,Gate.io,ADA/USDT,$2.30,"$800,027.47","$923,911.65","$64,765,152",1.96%,High,391,Recently
7,KuCoin,ADA/USDT,$2.30,"$2,533,413.80","$1,709,555.31","$61,630,529",1.87%,High,559,Recently
8,Kraken,ADA/USD,$2.30,"$2,395,283.23","$3,317,171.71","$36,112,523",1.09%,High,650,Recently
9,Binance,ADA/EUR,$2.27,"$720,424.14","$567,149.94","$31,509,004",0.95%,High,611,Recently
10,Coinbase Exchange,ADA/BTC,$2.29,"$445,230.69","$547,814.82","$24,905,914",0.75%,High,394,Recently
11,Binance,ADA/TRY,$2.29,"$261,518.64","$266,267.94","$22,858,707",0.69%,High,656,Recently
12,Kraken,ADA/EUR,$2.30,"$1,395,610.36","$1,279,007.23","$22,670,110",0.69%,High,632,Recently
13,Coinbase Exchange,ADA/EUR,$2.29,"$504,546.35","$682,815.78","$21,694,152",0.66%,High,356,Recently
