,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,LINK/USDT,$27.30,"$1,479,518.58","$1,420,708.61","$167,812,270",14.06%,High,885,Recently
1,Coinbase Exchange,LINK/USD,$27.32,"$2,085,338.66","$2,858,770.92","$87,124,176",7.30%,High,519,Recently
2,Huobi Global,LINK/USDT,$27.30,"$762,978.97","$716,976.45","$54,317,882",4.55%,Low,490,Recently
3,Binance,LINK/BTC,$27.28,"$601,084.69","$478,267.15","$30,362,427",2.54%,High,847,Recently
4,FTX,LINK/USD,$27.31,"$3,827,846.80","$4,081,705.35","$28,320,649",2.37%,High,545,Recently
5,Binance,LINK/BUSD,$27.31,"$504,796.78","$549,834.41","$20,776,176",1.74%,High,840,Recently
6,FTX,LINK/USDT,$27.31,"$2,774,138.56","$2,347,698.73","$20,147,622",1.69%,High,485,Recently
7,Gate.io,LINK/USDT,$27.32,"$659,783.17","$840,912.99","$19,832,793",1.66%,High,314,Recently
8,Kraken,LINK/USD,$27.37,"$1,765,420.21","$1,584,009.12","$11,713,208",0.98%,High,523,Recently
9,KuCoin,LINK/USDT,$27.31,"$609,709.17","$754,067.66","$10,763,022",0.90%,High,352,Recently
10,Binance.US,LINK/USD,$27.30,"$627,139.19","$665,187.53","$10,677,916",0.89%,High,699,Recently
11,FTX US,LINK/USD,$27.29,"$1,708,965.16","$1,705,435.12","$8,070,398",0.68%,High,404,Recently
12,Coinbase Exchange,LINK/EUR,$27.27,"$369,946.26","$389,387.69","$7,311,407",0.61%,High,373,Recently
13,Binance,LINK/ETH,$27.30,"$150,605.48","$285,404.13","$7,213,960",0.60%,High,927,Recently
