,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,ETH/USDT,"$3,623.20","$20,845,383.77","$10,308,998.30","$1,759,607,382",9.25%,High,860,Recently
1,Coinbase Exchange,ETH/USD,"$3,623.85","$18,448,539.30","$10,674,239.66","$689,267,994",3.62%,High,862,Recently
2,Huobi Global,ETH/USDT,"$3,622.43","$6,788,393.98","$7,592,518.36","$680,514,210",3.58%,Low,877,Recently
3,Binance,ETH/BUSD,"$3,623.37","$7,248,389.84","$4,176,977.84","$600,983,988",3.16%,High,838,Recently
4,KuCoin,ETH/USDT,"$3,621.86","$7,443,777.44","$4,726,888.85","$424,328,692",2.23%,High,869,Recently
5,FTX,ETH/USD,"$3,622.80","$6,732,702.83","$5,727,247.12","$384,282,281",2.02%,Moderate,863,Recently
6,Binance,ETH/BTC,"$3,621.97","$7,778,229.48","$4,022,190.77","$379,975,922",2.00%,High,870,Recently
7,Gate.io,ETH/USDT,"$3,622.43","$1,974,723.03","$1,973,786.70","$255,028,633",1.34%,High,768,Recently
8,Binance,ETH/EUR,"$3,584.95","$1,764,272.15","$1,100,127.50","$130,305,356",0.69%,High,646,Recently
9,FTX,ETH/USDT,"$3,622.05","$2,321,873.40","$1,931,449.60","$103,389,299",0.54%,High,854,Recently
10,Bithumb,ETH/KRW,"$3,690.86","$3,442,615.34","$2,400,280.66","$87,903,843",0.46%,High,344,Recently
11,Bitfinex,ETH/USD,"$3,622.90","$17,437,520.79","$14,988,055.54","$85,858,063",0.45%,High,669,Recently
12,Kraken,ETH/USD,"$3,624.27","$25,017,416.26","$23,839,785.85","$84,713,064",0.45%,High,763,Recently
13,Binance.US,ETH/USD,"$3,624.62","$2,739,542.69","$2,847,233.73","$81,072,235",0.43%,High,629,Recently
14,bitFlyer,ETH/JPY,"$3,614.53","$3,079,693.82","$1,611,101.98","$66,871,989",0.35%,High,310,Recently
