,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,DOT/USDT,$34.55,"$2,986,592.29","$1,742,932.41","$702,466,645",25.62%,High,842,Recently
1,Huobi Global,DOT/USDT,$34.54,"$1,748,038.25","$1,308,780.93","$198,078,721",7.22%,Low,570,Recently
2,Coinbase Exchange,DOT/USD,$34.65,"$1,817,750.16","$1,501,383.80","$115,483,690",4.21%,High,499,Recently
3,Binance,DOT/BTC,$34.54,"$482,656.15","$433,445.62","$110,191,228",4.02%,High,801,Recently
4,Binance,DOT/BUSD,$34.55,"$778,122.28","$658,418.44","$80,508,484",2.94%,High,846,Recently
5,Gate.io,DOT/USDT,$34.57,"$503,359.78","$737,838.78","$72,666,015",2.65%,High,396,Recently
6,KuCoin,DOT/USDT,$34.55,"$978,174.63","$1,035,254.69","$57,222,507",2.09%,High,493,Recently
7,Kraken,DOT/USD,$34.58,"$3,478,708.08","$2,946,949.57","$53,126,474",1.94%,High,569,Recently
8,Bithumb,DOT/KRW,$35.17,"$618,892.51","$758,753.75","$50,549,750",1.84%,High,215,Recently
9,Kraken,DOT/EUR,$34.54,"$1,744,139.37","$1,072,554.66","$19,970,912",0.73%,High,508,Recently
10,Bitfinex,DOT/USD,$34.58,"$786,568.99","$6,188,264.23","$19,253,611",0.70%,High,351,Recently
11,Binance,DOT/BNB,$34.61,"$113,433.61","$166,143.77","$16,183,245",0.59%,High,754,Recently
12,Huobi Global,DOT/BTC,$34.55,"$372,110.93","$405,872.33","$15,810,555",0.58%,Moderate,359,Recently
