,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,ALGO/USDT,$1.89,"$554,424.76","$909,390.22","$136,785,764",20.78%,High,640,Recently
1,Coinbase Exchange,ALGO/USD,$1.89,"$1,634,853.18","$2,347,139.09","$94,469,353",14.35%,High,448,Recently
2,Huobi Global,ALGO/USDT,$1.89,"$341,033.77","$286,474.56","$25,058,071",3.81%,Low,366,Recently
3,Binance,ALGO/BUSD,$1.89,"$269,764.65","$371,105.67","$23,171,628",3.52%,High,817,Recently
4,Binance.US,ALGO/USD,$1.89,"$352,624.21","$391,861.83","$19,025,088",2.89%,High,693,Recently
5,Binance,ALGO/BTC,$1.89,"$107,987.33","$367,600.64","$16,292,375",2.47%,High,935,Recently
6,KuCoin,ALGO/USDT,$1.89,"$1,037,496.73","$859,752.92","$15,795,423",2.40%,High,309,Recently
7,Kraken,ALGO/USD,$1.89,"$496,989.33","$711,637.60","$9,329,558",1.42%,High,416,Recently
8,Coinbase Exchange,ALGO/BTC,$1.89,"$301,086.02","$435,364.06","$8,990,971",1.37%,High,330,Recently
9,Coinbase Exchange,ALGO/EUR,$1.89,"$380,516.31","$364,488.99","$8,166,362",1.24%,High,299,Recently
10,Gate.io,ALGO/USDT,$1.89,"$570,474.20","$620,278.10","$7,173,736",1.09%,High,321,Recently
11,Coinbase Exchange,ALGO/GBP,$1.89,"$373,689.93","$355,666.77","$5,583,403",0.85%,High,268,Recently
12,Huobi Global,ALGO/BTC,$1.89,"$66,962.43","$76,619.91","$3,481,276",0.53%,Moderate,235,Recently
13,Kraken,ALGO/EUR,$1.89,"$341,423.16","$530,883.66","$2,962,658",0.45%,High,351,Recently
