,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,SHIB/BUSD,$1.00,"$368,044.41","$586,079.85","$1,263,671,990",15.58%,High,908,Recently
1,Binance,BUSD/USDT,$0.9999,"$54,701,072.49","$60,214,997.19","$1,195,848,367",14.74%,High,979,Recently
2,Binance,BTC/BUSD,$1.00,"$9,948,903.21","$6,849,695.82","$695,501,017",8.58%,High,860,Recently
3,Binance,ETH/BUSD,$1.00,"$8,016,641.03","$4,806,287.39","$602,339,261",7.43%,High,815,Recently
4,Binance,BTCST/BUSD,$1.00,"$359,756.63","$64,273.36","$511,974,232",6.31%,High,704,Recently
5,Binance,BNB/BUSD,$1.00,"$3,394,128.48","$1,338,122.78","$152,704,020",1.88%,High,542,Recently
6,Binance,FTM/BUSD,$0.9997,"$362,014.27","$235,429.66","$139,908,543",1.73%,High,871,Recently
7,Binance,SOL/BUSD,$1.00,"$1,376,483.09","$999,192.61","$132,192,656",1.63%,High,886,Recently
8,Binance,RAD/BUSD,$1.00,"$95,112.72","$136,355.35","$125,120,299",1.54%,High,796,Recently
9,Binance,ADA/BUSD,$1.00,"$1,628,334.23","$1,399,038.35","$120,726,289",1.49%,High,629,Recently
10,Binance.US,SHIB/BUSD,$1.00,"$78,858.82","$106,632.63","$88,563,657",1.09%,High,802,Recently
11,Binance,SLP/BUSD,$1.00,"$246,105.15","$185,734.20","$83,473,162",1.03%,High,885,Recently
12,Binance,LUNA/BUSD,$0.9999,"$644,058.83","$735,722.77","$82,286,437",1.01%,High,891,Recently
13,Binance,DOT/BUSD,$1.00,"$747,947.27","$783,706.55","$80,412,381",0.99%,High,781,Recently
14,Binance,DOGE/BUSD,$0.9999,"$558,677.26","$512,283.76","$75,269,969",0.93%,High,501,Recently
15,Binance,USDC/BUSD,$1.00,"$5,750,995.79","$5,927,301.86","$68,243,913",0.84%,High,981,Recently
