,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,SHIB/USDT,$0.00002276,"$505,033.29","$2,803,863.18","$5,709,829,040",28.79%,High,878,Recently
1,Coinbase Exchange,SHIB/USD,$0.00002275,"$937,121.33","$1,302,705.04","$2,263,029,751",11.41%,Low,302,Recently
2,Huobi Global,SHIB/USDT,$0.00002288,"$795,126.82","$698,577.67","$1,478,229,470",7.45%,Low,282,Recently
3,Binance,SHIB/BUSD,$0.00002278,"$272,457.43","$803,690.53","$1,189,309,763",6.00%,High,507,Recently
4,Binance,SHIB/TRY,$0.00002267,"$274,715.59","$110,324.85","$558,498,096",2.82%,High,715,Recently
5,KuCoin,SHIB/USDT,$0.0000229,"$337,765.98","$766,808.58","$518,584,369",2.62%,Low,252,Recently
6,Gate.io,SHIB/USDT,$0.00002303,"$414,287.80","$565,209.47","$495,295,164",2.50%,Low,332,Recently
7,Binance.US,SHIB/USDT,$0.0000228,"$525,904.61","$390,162.25","$348,720,814",1.76%,High,522,Recently
8,Binance,SHIB/EUR,$0.00002254,"$134,854.23","$196,899.64","$289,063,089",1.46%,High,637,Recently
9,Coinbase Exchange,SHIB/USDT,$0.00002276,"$325,637.09","$504,308.45","$272,499,114",1.37%,Low,261,Recently
10,Uniswap (V2),SHIB/WETH,$0.00002341,-,-,"$138,030,960",0.70%,High,500,Recently
11,Binance.US,SHIB/BUSD,$0.00002277,"$18,161.33","$59,846.08","$88,285,019",0.45%,High,547,Recently
