,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,SOL/USDT,$157.44,"$4,323,442.43","$2,387,636.58","$525,883,948",19.80%,High,622,Recently
1,Coinbase Exchange,SOL/USD,$157.66,"$2,216,139.61","$2,166,895.31","$277,461,684",10.45%,High,575,Recently
2,FTX,SOL/USD,$157.60,"$2,344,805.54","$1,978,666.58","$150,728,766",5.68%,Moderate,493,Recently
3,Binance,SOL/BUSD,$157.40,"$1,529,574.68","$1,157,004.68","$133,099,983",5.01%,High,760,Recently
4,Binance,SOL/BTC,$157.38,"$545,179.21","$853,931.50","$111,368,368",4.19%,High,552,Recently
5,Huobi Global,SOL/USDT,$157.58,"$678,688.70","$1,458,035.45","$64,666,533",2.43%,Low,469,Recently
6,Binance.US,SOL/USD,$157.53,"$888,588.33","$1,483,710.89","$64,369,217",2.42%,High,782,Recently
7,FTX,SOL/USDT,$157.59,"$1,348,330.21","$1,123,542.60","$38,916,628",1.47%,High,430,Recently
8,KuCoin,SOL/USDT,$157.56,"$1,461,641.60","$927,677.55","$31,979,160",1.20%,High,418,Recently
9,Binance,SOL/TRY,$156.89,"$369,059.07","$113,005.25","$29,678,544",1.12%,High,765,Recently
10,Bitfinex,SOL/USD,$157.64,"$1,623,062.32","$3,111,314.72","$27,624,288",1.04%,High,335,Recently
11,Coinbase Exchange,SOL/BTC,$157.19,"$631,809.44","$778,845.66","$21,912,921",0.83%,High,350,Recently
12,Coinbase Exchange,SOL/EUR,$157.18,"$554,834.18","$545,682.03","$21,053,671",0.79%,High,372,Recently
13,FTX US,SOL/USD,$157.04,"$1,317,730.52","$1,244,013.67","$16,423,727",0.62%,Moderate,223,Recently
14,Gate.io,SOL/USDT,$157.36,"$1,031,442.68","$969,241.32","$15,096,427",0.57%,High,346,Recently
