,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,SHIB/USDT,$1.00,"$783,575.72","$910,094.68","$6,110,680,673",6.58%,High,874,Recently
1,Binance,BTC/USDT,$1.00,"$33,356,054.70","$22,191,694.81","$3,086,793,068",3.32%,High,892,Recently
2,Binance,ETH/USDT,$1.00,"$20,845,383.77","$10,308,998.30","$1,759,607,382",1.89%,High,860,Recently
3,Huobi Global,SHIB/USDT,$1.00,"$335,595.19","$511,395.63","$1,486,774,602",1.60%,Low,274,Recently
4,Binance,BUSD/USDT,$1.00,"$56,408,764.33","$59,194,305.24","$1,198,213,384",1.29%,High,960,Recently
5,Binance,BTCST/USDT,$1.00,"$178,456.37","$297,970.03","$1,093,044,827",1.18%,High,800,Recently
6,Binance,FTM/USDT,$1.00,"$1,115,692.52","$1,332,985.84","$1,087,603,813",1.17%,High,692,Recently
7,Huobi Global,BTC/USDT,$1.00,"$13,951,076.67","$12,869,701.74","$723,912,497",0.78%,Low,939,Recently
8,Binance,DOT/USDT,$1.00,"$2,108,189.13","$2,053,608.18","$696,906,036",0.75%,High,525,Recently
9,Huobi Global,ETH/USDT,$1.00,"$6,788,393.98","$7,592,518.36","$680,514,210",0.73%,Low,877,Recently
10,Binance,ADA/USDT,$1.00,"$3,730,993.68","$4,546,081.70","$589,618,475",0.63%,High,893,Recently
11,KuCoin,BTC/USDT,$1.00,"$9,798,968.95","$10,802,601.92","$588,729,159",0.63%,High,900,Recently
