,source,pairs,price,plus_2_Depth,minus_2_Depth,volume,volume_perc,confidence,liquidity,updated
0,Binance,XRP/USDT,$1.07,"$4,202,205.01","$3,796,986.21","$450,194,634",13.94%,High,763,Recently
1,Huobi Global,XRP/USDT,$1.07,"$2,747,179.83","$1,278,106.34","$117,153,899",3.63%,Low,621,Recently
2,Bithumb,XRP/KRW,$1.10,"$1,585,585.75","$1,710,575.24","$82,697,977",2.56%,High,285,Recently
3,KuCoin,XRP/USDT,$1.07,"$1,994,537.91","$1,639,920.24","$68,999,637",2.14%,High,714,Recently
4,Gate.io,XRP/USDT,$1.07,"$687,228.41","$882,520.98","$61,235,020",1.90%,High,534,Recently
5,Binance,XRP/BUSD,$1.08,"$782,105.75","$886,628.54","$46,460,111",1.44%,High,511,Recently
6,Binance,XRP/BTC,$1.07,"$589,073.65","$993,907.24","$43,093,416",1.33%,High,614,Recently
7,FTX,XRP/USD,$1.08,"$3,647,320.21","$7,352,858.71","$39,714,176",1.23%,High,743,Recently
8,Bitstamp,XRP/USD,$1.07,"$1,986,408.73","$2,043,011.06","$20,585,984",0.64%,High,351,Recently
9,Bitstamp,XRP/EUR,$1.07,"$799,756.13","$707,599.97","$10,923,189",0.34%,High,305,Recently
10,Kraken,XRP/EUR,$1.07,"$1,383,249.95","$1,797,224.19","$9,928,767",0.31%,High,485,Recently
11,Binance,XRP/TRY,$1.07,"$254,758.26","$193,412.06","$9,896,935",0.31%,High,840,Recently
12,Bitfinex,XRP/USD,$1.07,"$1,467,711.73","$2,128,561.25","$9,852,696",0.31%,High,427,Recently
13,Huobi Global,XRP/BTC,$1.07,"$294,068.38","$337,801.76","$8,428,167",0.26%,High,395,Recently
