symbol,ex,volume
ADA/BTC,Binance,122837715.0
ADA/BTC,Coinbase Exchange,24905914.0
ADA/BUSD,Binance,241027412.0
ADA/EUR,Binance,31509004.0
ADA/EUR,Coinbase Exchange,21694152.0
ADA/EUR,Kraken,22670110.0
ADA/TRY,Binance,22858707.0
ADA/USD,Binance.US,66761768.0
ADA/USD,Coinbase Exchange,309190148.0
ADA/USD,Kraken,36112523.0
ADA/USDT,Binance,1177580541.0
ADA/USDT,Gate.io,64765152.0
ADA/USDT,Huobi Global,111400165.0
ADA/USDT,KuCoin,61630529.0
ALGO/BTC,Binance,16292375.0
ALGO/BTC,Coinbase Exchange,8990971.0
ALGO/BTC,Huobi Global,3481276.0
ALGO/BUSD,Binance,23171628.0
ALGO/EUR,Coinbase Exchange,8166362.0
ALGO/EUR,Kraken,2962658.0
ALGO/GBP,Coinbase Exchange,5583403.0
ALGO/USD,Binance.US,19025088.0
ALGO/USD,Coinbase Exchange,94469353.0
ALGO/USD,Kraken,9329558.0
ALGO/USDT,Binance,136785764.0
ALGO/USDT,Gate.io,7173736.0
ALGO/USDT,Huobi Global,25058071.0
ALGO/USDT,KuCoin,15795423.0
AVAX/BNB,Binance,1632986.0
AVAX/BTC,Binance,44896178.0
AVAX/BTC,KuCoin,2171887.0
AVAX/BUSD,Binance,44654931.0
AVAX/EUR,Binance,3106721.0
AVAX/EUR,Coinbase Exchange,1064686.0
AVAX/TRY,Binance,53142668.0
AVAX/USD,Bitfinex,3343955.0
AVAX/USD,Coinbase Exchange,25667416.0
AVAX/USDT,Binance,291040833.0
AVAX/USDT,Gate.io,35232717.0
AVAX/USDT,Huobi Global,25058667.0
AVAX/USDT,KuCoin,18872839.0
AVAX/UST,Bitfinex,1717028.0
BCH/BTC,Binance,12621293.0
BCH/BTC,Coinbase Exchange,8531471.0
BCH/BTC,FTX US,9227140.0
BCH/BTC,Huobi Global,10369479.0
BCH/BUSD,Binance,9096393.0
BCH/KRW,Bithumb,6778153.0
BCH/USD,Coinbase Exchange,30191851.0
BCH/USD,FTX,16620776.0
BCH/USD,FTX US,29117210.0
BCH/USDT,Binance,98471785.0
BCH/USDT,FTX US,26678106.0
BCH/USDT,Gate.io,12816942.0
BCH/USDT,Huobi Global,54588097.0
BNB/BTC,Binance,88314357.0
BNB/BUSD,Binance,306966947.0
BNB/ETH,Binance,24122834.0
BNB/EUR,Binance,11399426.0
BNB/USD,Binance.US,40554826.0
BNB/USD,FTX,69034122.0
BNB/USDT,Binance,516453082.0
BNB/USDT,FTX,36021135.0
BNB/USDT,Gate.io,54784693.0
BNB/USDT,KuCoin,26995802.0
BTC/BUSD,Binance,1390596032.0
BTC/EUR,Binance,133274604.0
BTC/JPY,Coincheck,221315203.0
BTC/JPY,bitFlyer,162104251.0
BTC/USD,Bitfinex,289880956.0
BTC/USD,Coinbase Exchange,938243056.0
BTC/USD,FTX,823296173.0
BTC/USDC,Binance,83633683.0
BTC/USDC,Coinbase Exchange,31532443.0
BTC/USDT,Binance,6174703405.0
BTC/USDT,FTX,276588938.0
BTC/USDT,Gate.io,318720195.0
BTC/USDT,Huobi Global,1446501130.0
BTC/USDT,KuCoin,1177292498.0
BTCST/BUSD,Binance,511974232.0
BTCST/USDT,Binance,1093044827.0
BUSD/USDT,Binance,2394061751.0
CAKE/BNB,Binance,9177463.0
DOGE/BTC,Binance,61186766.0
DOGE/BUSD,Binance,150642100.0
DOGE/KRW,Bithumb,63245266.0
DOGE/TRY,Binance,60463327.0
DOGE/USD,Binance.US,49838597.0
DOGE/USD,Coinbase Exchange,157204018.0
DOGE/USD,FTX,134298576.0
DOGE/USD,FTX US,40764520.0
DOGE/USDT,Binance,560586223.0
DOGE/USDT,FTX,84954101.0
DOGE/USDT,FTX US,43482780.0
DOGE/USDT,Gate.io,74969412.0
DOGE/USDT,Huobi Global,154349511.0
DOGE/USDT,KuCoin,42808458.0
DOT/BNB,Binance,32251674.0
DOT/BTC,Binance,110191228.0
DOT/BTC,Huobi Global,15810555.0
DOT/BUSD,Binance,160920865.0
DOT/EUR,Kraken,19970912.0
DOT/KRW,Bithumb,50549750.0
DOT/USD,Bitfinex,19253611.0
DOT/USD,Coinbase Exchange,115483690.0
DOT/USD,Kraken,53126474.0
DOT/USDT,Binance,1399372681.0
DOT/USDT,Gate.io,72666015.0
DOT/USDT,Huobi Global,198078721.0
DOT/USDT,KuCoin,57222507.0
ETH/BTC,Binance,759725536.0
ETH/BUSD,Binance,1203323249.0
ETH/EUR,Binance,130305356.0
ETH/JPY,bitFlyer,66871989.0
ETH/KRW,Bithumb,87903843.0
ETH/USD,Binance.US,81072235.0
ETH/USD,Bitfinex,85858063.0
ETH/USD,Coinbase Exchange,689267994.0
ETH/USD,FTX,384282281.0
ETH/USD,Kraken,84713064.0
ETH/USDC,Binance,45849966.0
ETH/USDC,Coinbase Exchange,26475428.0
ETH/USDT,Binance,3519214764.0
ETH/USDT,FTX,103389299.0
